Strategy,Number of Truck,Max speed,Vision,Placed on Edges,Truck Extinguish,Self Extinguish
Goes to the biggest fire,10,100,100,FALSE,466,8292
Goes to the biggest fire,20,100,100,FALSE,674,8100
Goes to the biggest fire,30,100,100,FALSE,786,8025
Goes to the biggest fire,10,100,125,FALSE,337,8407
Goes to the biggest fire,20,100,125,FALSE,508,8277
Goes to the biggest fire,30,100,125,FALSE,618,8175
Goes to the biggest fire,10,50,100,FALSE,295,8456
Goes to the biggest fire,10,50,100,FALSE,426,8326
Goes to the biggest fire,10,50,100,FALSE,460,8281
Goes to the biggest fire,20,50,100,FALSE,729,8049
Goes to the biggest fire,20,50,100,FALSE,766,8020
Goes to the biggest fire,20,50,100,FALSE,689,8090
Goes to the biggest fire,30,50,100,FALSE,770,8019
Goes to the biggest fire,30,50,100,FALSE,994,7826
Goes to the biggest fire,30,50,100,FALSE,900,7907
Goes to the biggest fire,40,50,100,FALSE,1059,7763
Goes to the biggest fire,50,50,100,FALSE,1119,7691
Goes to the biggest fire,70,50,100,FALSE,1377,7565
Goes to the biggest fire,80,50,100,FALSE,1544,7384
Goes to the biggest fire,90,50,100,FALSE,1716,7252
Goes to the biggest fire,100,50,100,FALSE,1835,7136
Goes to the biggest fire,100,50,100,FALSE,1801,7194
Goes to the biggest fire,20,30,100,TRUE,29,8698
Goes to the biggest fire,20,40,100,TRUE,35,8697
Goes to the biggest fire,20,50,100,TRUE,364,8387
Goes to the biggest fire,20,60,100,TRUE,185,8560
Goes to the biggest fire,20,70,100,TRUE,365,8409
Goes to the biggest fire,20,80,100,TRUE,434,8314
Goes to the biggest fire,20,90,100,TRUE,324,8438
Goes to the biggest fire,20,100,100,TRUE,269,8480
Goes to the biggest fire,20,10,100,FALSE,0,8715
Goes to the biggest fire,20,10,100,FALSE,0,8715
Goes to the biggest fire,20,20,100,FALSE,47,8681
Goes to the biggest fire,20,30,100,FALSE,189,8575
Goes to the biggest fire,20,40,100,FALSE,678,8115
Goes to the biggest fire,20,50,100,FALSE,708,8088
Goes to the biggest fire,20,60,100,FALSE,549,8239
Goes to the biggest fire,20,70,100,FALSE,628,8149
Goes to the biggest fire,20,80,100,FALSE,590,8201
Goes to the biggest fire,20,90,100,FALSE,531,8223
Goes to the biggest fire,20,100,100,FALSE,520,8277
Goes to the closest fire,10,100,100,FALSE,408,8357
Goes to the closest fire,20,100,100,FALSE,505,8278
Goes to the closest fire,30,100,100,FALSE,683,8108
Goes to the closest fire,10,100,125,FALSE,374,8381
Goes to the closest fire,20,100,125,FALSE,489,8283
Goes to the closest fire,30,100,125,FALSE,612,8176
Goes to the closest fire,10,50,100,TRUE,149,8580
Goes to the closest fire,20,50,100,TRUE,166,8567
Goes to the closest fire,30,50,100,TRUE,355,8399
Goes to the closest fire,40,50,100,FALSE,946,7881
Goes to the closest fire,50,50,100,FALSE,1098,7775
Goes to the closest fire,60,50,100,FALSE,1301,7575
Goes to the closest fire,70,50,100,FALSE,1285,7609
Goes to the closest fire,80,50,100,FALSE,1504,7432
Goes to the closest fire,90,50,100,FALSE,1600,7364
Goes to the closest fire,100,50,100,FALSE,1848,7161
Goes to the closest fire,50,20,100,FALSE,148,8624
Goes to the closest fire,50,30,100,FALSE,688,8131
Goes to the closest fire,50,40,100,FALSE,1028,7821
Goes to the closest fire,50,50,100,FALSE,1094,7772
Goes to the closest fire,50,60,100,FALSE,1079,7785
Goes to the closest fire,50,70,100,FALSE,1094,7762
Goes to the closest fire,50,80,100,FALSE,1054,7798
Goes to the closest fire,50,90,100,FALSE,1022,7791
Goes to the closest fire,10,50,100,FALSE,574,8197
Goes to the closest fire,20,50,100,FALSE,841,7948
Goes to the closest fire,30,50,100,FALSE,812,8003
Goes to the closest fire,10,50,100,TRUE,176,8562
Goes to the closest fire,20,50,100,TRUE,175,8565
Goes to the closest fire,30,50,100,TRUE,307,8445
Goes to the closest fire,40,50,100,TRUE,472,8291
Goes to the closest fire,50,50,100,TRUE,640,8168
Goes to the closest fire,60,50,100,TRUE,630,8157
Goes to the closest fire,70,50,100,TRUE,639,8147
Goes to the closest fire,80,50,100,TRUE,757,8047
Goes to the closest fire,90,50,100,TRUE,943,7878
Goes to the closest fire,100,50,100,TRUE,912,7924
Goes to the closest fire,40,50,100,TRUE,447,8308
Goes to the closest fire,10,50,100,TRUE,223,8521
Goes to the closest fire,10,50,100,TRUE,156,8586
Goes to the closest fire,20,50,100,TRUE,184,8562
Goes to the closest fire,30,50,100,TRUE,259,8490
Goes to the closest fire,40,50,100,TRUE,486,8272
Goes to the closest fire,40,50,100,TRUE,482,8294
Goes to the closest fire,50,50,100,TRUE,640,8168
Goes to the closest fire,60,50,100,TRUE,647,8136
Goes to the closest fire,60,50,100,TRUE,612,8177
Goes to the closest fire,70,50,100,TRUE,639,8147
Goes to the closest fire,80,50,100,TRUE,745,8058
Goes to the closest fire,80,50,100,TRUE,769,8035
Goes to the closest fire,10,10,100,TRUE,0,8715
Goes to the closest fire,20,20,100,TRUE,15,8704
Goes to the closest fire,30,20,100,TRUE,94,8632
Goes to the closest fire,20,30,100,TRUE,111,8635
Goes to the closest fire,20,40,100,TRUE,137,8608
Goes to the closest fire,20,50,100,TRUE,449,8305
Goes to the closest fire,20,60,100,TRUE,188,8553
Goes to the closest fire,20,70,100,TRUE,371,8377
Goes to the closest fire,20,80,100,TRUE,287,8454
Goes to the closest fire,20,90,100,TRUE,510,8241
Goes to the closest fire,20,100,100,TRUE,289,8470
Goes to the closest fire,20,20,100,FALSE,32,8699
Goes to the closest fire,20,30,100,FALSE,441,8345
Goes to the closest fire,20,40,100,FALSE,648,8140
Goes to the closest fire,20,50,100,FALSE,643,8143
Goes to the closest fire,20,60,100,FALSE,711,8091
Goes to the closest fire,20,70,100,FALSE,580,8220
Goes to the closest fire,20,80,100,FALSE,557,8218
Goes to the closest fire,20,90,100,FALSE,593,8170
Parallel attack,20,80,100,FALSE,760,8078
Parallel attack,20,80,100,TRUE,460,8309
Parallel attack,10,50,100,FALSE,481,8286
Parallel attack,20,50,100,FALSE,777,8037
Parallel attack,30,50,100,FALSE,969,7847
Parallel attack,40,50,100,FALSE,1246,7622
Parallel attack,50,50,100,FALSE,1552,7359
Parallel attack,60,50,100,FALSE,1760,7192
Parallel attack,70,50,100,FALSE,2025,6946
Parallel attack,80,50,100,FALSE,2278,6728
Parallel attack,90,50,100,FALSE,2472,6577
Parallel attack,100,50,100,FALSE,2639,6407
Parallel attack,20,10,100,FALSE,279,8505
Parallel attack,20,20,100,FALSE,870,7955
Parallel attack,20,30,100,FALSE,729,8073
Parallel attack,20,40,100,FALSE,850,7960
Parallel attack,20,50,100,FALSE,747,8054
Parallel attack,20,60,100,FALSE,765,8057
Parallel attack,20,70,100,FALSE,712,8062
Parallel attack,20,80,100,FALSE,792,8007
Parallel attack,20,90,100,FALSE,738,8063
Parallel attack,20,100,100,FALSE,744,8066